URL,Title,Local Identifier,Date,Person 1,Person 2,Person 3,Person 4,Person 5,Place
https://calisphere.org/item/ark:/86086/n2n58jhz,"Party scene, Pittcon",pittcon_1960_d2-5-n,1960,,,,,,Pittsburgh (Pa.)
https://calisphere.org/item/ark:/86086/n2hd7stp,"Resting fans, Pittcon",pittcon_1960_d3-1-n,1960,,,,,,Pittsburgh (Pa.)
https://calisphere.org/item/ark:/86086/n2cn723r,"Resting fans, Pittcon",pittcon_1960_d3-2-n,1960,,,,,,Pittsburgh (Pa.)
https://calisphere.org/item/ark:/86086/n28050r6,"Outside Hugo banquet, Pittcon",pittcon_1960_e1-1-n,1960,,,,,,Pittsburgh (Pa.)
https://calisphere.org/item/ark:/86086/n20g3h95,"Hugo portrait, Pittcon",pittcon_1960_e1-4-n,1960,,,,,,Pittsburgh (Pa.)
https://calisphere.org/item/ark:/86086/n2vq30tv,"Audience at Hugo awards, Pittcon",pittcon_1960_e1-5-n,1960,,,,,,Pittsburgh (Pa.)
https://calisphere.org/item/ark:/86086/n2qz283j,"Audience at Hugo awards, Pittcon",pittcon_1960_e1-6-n,1960,,,,,,Pittsburgh (Pa.)
https://calisphere.org/item/ark:/86086/n2m61hdk,"Panel audience, Pittcon",pittcon_1960_e2-1-n,1960,,,,,,Pittsburgh (Pa.)
https://calisphere.org/item/ark:/86086/n2gf0rpv,"Art show, Pittcon",pittcon_1960_e2-2-n,1960,,,,,,Pittsburgh (Pa.)
https://calisphere.org/item/ark:/86086/n2br8qbv,"Art show, Pittcon",pittcon_1960_e2-3-n,1960,,,,,,Pittsburgh (Pa.)
https://calisphere.org/item/ark:/86086/n2707zmf,"Art show, Pittcon",pittcon_1960_e2-4-n,1960,,,,,,Pittsburgh (Pa.)
https://calisphere.org/item/ark:/86086/n23776w3,"Art show, Pittcon",pittcon_1960_e2-5-n,1960,,,,,,Pittsburgh (Pa.)
https://calisphere.org/item/ark:/86086/n2zg6qdt,"Game room, Pittcon",pittcon_1960_e2-6-n,1960,,,,,,Pittsburgh (Pa.)
https://calisphere.org/item/ark:/86086/n2tq5zp3,"Fans conversing, Pittcon",pittcon_1960_e3-1-n,1960,,,,,,Pittsburgh (Pa.)
https://calisphere.org/item/ark:/86086/n2pz570m,"Fans conversing, Pittcon",pittcon_1960_e3-2-n,1960,,,,,,Pittsburgh (Pa.)
https://calisphere.org/item/ark:/86086/n2k935ph,"Isaac Asimov and fans conversing, Pittcon",pittcon_1960_e3-3-n,1960,"Asimov, Isaac, 1920-1992",,,,,Pittsburgh (Pa.)
https://calisphere.org/item/ark:/86086/n2fj2dzs,"Fans conversing, Pittcon",pittcon_1960_e3-4-n,1960,,,,,,Pittsburgh (Pa.)
https://calisphere.org/item/ark:/86086/n29s1p7g,"Microphone setup, Pittcon",pittcon_1960_e3-5-n,1960,,,,,,Pittsburgh (Pa.)
https://calisphere.org/item/ark:/86086/n2610xh2,"Film room setup, Pittcon",pittcon_1960_e3-6-n,1960,,,,,,Pittsburgh (Pa.)
https://calisphere.org/item/ark:/86086/n22805sq,"Fans conversing, Pittcon",pittcon_1960_e4-1-n,1960,,,,,,Pittsburgh (Pa.)
https://calisphere.org/item/ark:/86086/n2xg9p9w,"Fans conversing, Pittcon",pittcon_1960_e4-2-n,1960,,,,,,Pittsburgh (Pa.)
https://calisphere.org/item/ark:/86086/n2sq8xk5,"Fans conversing, Pittcon",pittcon_1960_e4-3-n,1960,,,,,,Pittsburgh (Pa.)
https://calisphere.org/item/ark:/86086/n2p26w8g,"Art auction cartoon panels, Pittcon",pittcon_1960_e4-4-n,1960,,,,,,Pittsburgh (Pa.)
https://calisphere.org/item/ark:/86086/n2j964j4,"Audience for art auction, Pittcon",pittcon_1960_e4-5-n,1960,,,,,,Pittsburgh (Pa.)
https://calisphere.org/item/ark:/86086/n2dj5ctd,"Art auction art piece, Pittcon",pittcon_1960_e4-6-n,1960,,,,,,Pittsburgh (Pa.)
https://calisphere.org/item/ark:/86086/n28s4n33,"Art auction audience, Pittcon",pittcon_1960_e5-1-n,1960,,,,,,Pittsburgh (Pa.)
https://calisphere.org/item/ark:/86086/n2513wcp,"Art auction framed piece, Pittcon",pittcon_1960_e5-2-n,1960,,,,,,Pittsburgh (Pa.)
https://calisphere.org/item/ark:/86086/n21834nb,"Fans at dinner, Pittcon",pittcon_1960_e5-3-n,1960,,,,,,Pittsburgh (Pa.)
https://calisphere.org/item/ark:/86086/n2wh2n52,"Fans going into banquet room, Pittcon",pittcon_1960_e5-4-n,1960,,,,,,Pittsburgh (Pa.)
https://calisphere.org/item/ark:/86086/n2rv0kvn,"Forrest J Ackerman in conversation, Pittcon",pittcon_1960_e5-5-n,1960,"Ackerman, Forrest J.",,,,,Pittsburgh (Pa.)
https://calisphere.org/item/ark:/86086/n2n29v43,"Dealers room, Pittcon",pittcon_1960_e5-6-n,1960,,,,,,Pittsburgh (Pa.)
https://calisphere.org/item/ark:/86086/n2h993c9,"Fans at registration, Pittcon",pittcon_1960_e6-1-n,1960,,,,,,Pittsburgh (Pa.)
https://calisphere.org/item/ark:/86086/n2cj8bnk,"Entering elevators, Pittcon",pittcon_1960_e6-2-n,1960,,,,,,Pittsburgh (Pa.)
https://calisphere.org/item/ark:/86086/n27s7kxv,"Bjo Trimble at dealers room, Pittcon",pittcon_1960_e6-3-n,1960,"Trimble, Bjo",,,,,Pittsburgh (Pa.)
https://calisphere.org/item/ark:/86086/n2416v6v,"At bar, Pittcon",pittcon_1960_e6-4-n,1960,,,,,,Pittsburgh (Pa.)
https://calisphere.org/item/ark:/86086/n20863gh,"At bar, Pittcon",pittcon_1960_e6-5-n,1960,,,,,,Pittsburgh (Pa.)
https://calisphere.org/item/ark:/86086/n2vm49f0,"Avram Davidson at bar, Pittcon",pittcon_1960_e6-6-n,1960,"Davidson, Avram",,,,,Pittsburgh (Pa.)
https://calisphere.org/item/ark:/86086/n2qv3jq8,"At bar, Pittcon",pittcon_1960_e6-7-n,1960,,,,,,Pittsburgh (Pa.)
https://calisphere.org/item/ark:/86086/n2m32szd,"Hotel room, Pittcon",pittcon_1960_f1-1-n,1960,,,,,,Pittsburgh (Pa.)
https://calisphere.org/item/ark:/86086/n2gb227g,"Hotel room with photographer, Pittcon",pittcon_1960_f1-2-n,1960,,,,,,Pittsburgh (Pa.)
https://calisphere.org/item/ark:/86086/n2bk19hr,"Hotel room with occupant, Pittcon",pittcon_1960_f1-3-n,1960,,,,,,Pittsburgh (Pa.)
https://calisphere.org/item/ark:/86086/n26t0js1,"At the bar, Pittcon",pittcon_1960_f1-4-n,1960,,,,,,Pittsburgh (Pa.)
https://calisphere.org/item/ark:/86086/n2319t2g,"Fans dining, Pittcon",pittcon_1960_f1-5-n,1960,,,,,,Pittsburgh (Pa.)
https://calisphere.org/item/ark:/86086/n2zc811b,"Fans at table with overstock, Pittcon",pittcon_1960_f1-6-n,1960,,,,,,Pittsburgh (Pa.)
https://calisphere.org/item/ark:/86086/n2tm789m,"Fans conversing, Pittcon",pittcon_1960_f2-1-n,1960,,,,,,Pittsburgh (Pa.)
https://calisphere.org/item/ark:/86086/n2pv6hjf,"Fans conversing, Pittcon",pittcon_1960_f2-2-n,1960,,,,,,Pittsburgh (Pa.)
https://calisphere.org/item/ark:/86086/n2k35rt1,"Fans lying down after the party, Pittcon",pittcon_1960_f2-3-n,1960,,,,,,Pittsburgh (Pa.)
https://calisphere.org/item/ark:/86086/n2fb5133,"Fans lying down after the party, Pittcon",pittcon_1960_f2-4-n,1960,,,,,,Pittsburgh (Pa.)
https://calisphere.org/item/ark:/86086/n29k48cc,"Writing up the con, Pittcon",pittcon_1960_f2-5-n,1960,,,,,,Pittsburgh (Pa.)
https://calisphere.org/item/ark:/86086/n25t3hnn,"Fans lying down after the party, Pittcon",pittcon_1960_f2-6-n,1960,,,,,,Pittsburgh (Pa.)
https://calisphere.org/item/ark:/86086/n2251gbz,"Fans at table, Pittcon",pittcon_1960_f3-1-n,1960,,,,,,Pittsburgh (Pa.)
https://calisphere.org/item/ark:/86086/n2xd0zv8,"Dealers room, Pittcon",pittcon_1960_f3-2-n,1960,,,,,,Pittsburgh (Pa.)
https://calisphere.org/item/ark:/86086/n2sn074b,"Dealers room, Pittcon",pittcon_1960_f3-3-n,1960,,,,,,Pittsburgh (Pa.)
https://calisphere.org/item/ark:/86086/n2nv9gd2,"Dealers room, Pittcon",pittcon_1960_f3-4-n,1960,,,,,,Pittsburgh (Pa.)
https://calisphere.org/item/ark:/86086/n2j38qpn,"Publishers table, Pittcon",pittcon_1960_f3-5-n,1960,,,,,,Pittsburgh (Pa.)
https://calisphere.org/item/ark:/86086/n2db7zzx,"Publishers table, Pittcon",pittcon_1960_f3-6-n,1960,,,,,,Pittsburgh (Pa.)
https://calisphere.org/item/ark:/86086/n28k7770,"Publishers table, Pittcon",pittcon_1960_f4-1-n,1960,,,,,,Pittsburgh (Pa.)
https://calisphere.org/item/ark:/86086/n24x55z1,"Fans, Pittcon",pittcon_1960_f4-2-n,1960,,,,,,Pittsburgh (Pa.)
https://calisphere.org/item/ark:/86086/n2154f71,"Fans at rest, Pittcon",pittcon_1960_f4-3-n,1960,,,,,,Pittsburgh (Pa.)
https://calisphere.org/item/ark:/86086/n2wd3xrb,"Fans at rest, Pittcon",pittcon_1960_f4-4-n,1960,,,,,,Pittsburgh (Pa.)
